"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70828","Approve an existing expense claim","Chromium","Mon Nov 17 23:49:37 IST 2025","passed","Mon Nov 17 23:50:48 IST 2025","Approve Expense Claim Flow","3_expensesClaim.spec.ts","",""
"","76395","Approve an existing expense claim","firefox","Mon Nov 17 16:38:35 IST 2025","passed","Mon Nov 17 16:39:51 IST 2025","Approve Expense Claim Flow","expensesClaim.spec.ts","",""
"","60622","User should login successfully","WebKit","Mon Nov 17 17:10:14 IST 2025","broken","Mon Nov 17 17:11:15 IST 2025","Login Tests","login.spec.ts","",""
"","47049","Approve Expense Claim","chromium","Mon Nov 17 01:43:56 IST 2025","failed","Mon Nov 17 01:44:43 IST 2025","Approve Expense Claim Flow","expensesClaim.spec.ts","",""
"","62633","test","chromium","Mon Nov 17 16:24:44 IST 2025","broken","Mon Nov 17 16:25:46 IST 2025","","demo.spec.ts","",""
"","9084","User should login successfully","Chromium","Mon Nov 17 22:39:26 IST 2025","passed","Mon Nov 17 22:39:35 IST 2025","Login Tests","login.spec.ts","",""
"","4016","User should login sucessful","WebKit","Mon Nov 17 16:54:25 IST 2025","failed","Mon Nov 17 16:54:29 IST 2025","Login Tests","login.spec.ts","",""
"","2","Login with valid user @high","Chromium","Mon Nov 17 22:42:15 IST 2025","failed","Mon Nov 17 22:42:15 IST 2025","Login Tests","login.spec.ts","",""
"","17360","Create new expense","firefox","Mon Nov 17 16:39:14 IST 2025","passed","Mon Nov 17 16:39:32 IST 2025","Create Expense Flow","payroll.spec.ts","",""
"","60073","Create new expense","Firefox","Mon Nov 17 17:09:10 IST 2025","broken","Mon Nov 17 17:10:11 IST 2025","Create Expense Flow","payroll.spec.ts","",""
"","21805","User should login sucessful","chromium","Mon Nov 17 16:41:58 IST 2025","passed","Mon Nov 17 16:42:19 IST 2025","Login Tests","login.spec.ts","",""
"","6192","User should login sucessful","Firefox","Mon Nov 17 16:54:24 IST 2025","failed","Mon Nov 17 16:54:30 IST 2025","Login Tests","login.spec.ts","",""
"","26385","Create new expense","chromium","Mon Nov 17 16:41:58 IST 2025","passed","Mon Nov 17 16:42:24 IST 2025","Create Expense Flow","payroll.spec.ts","",""
"","6783","User should login sucessful","Chromium","Mon Nov 17 16:54:16 IST 2025","failed","Mon Nov 17 16:54:23 IST 2025","Login Tests","login.spec.ts","",""
"","57303","Approve an existing expense claim","webkit","Mon Nov 17 16:39:31 IST 2025","passed","Mon Nov 17 16:40:28 IST 2025","Approve Expense Claim Flow","expensesClaim.spec.ts","",""
"","31457","Create new expense","Chromium","Mon Nov 17 23:49:05 IST 2025","passed","Mon Nov 17 23:49:37 IST 2025","Create Expense Flow","2_payroll.spec.ts","",""
"","48411","Approve an existing expense claim","Chromium","Mon Nov 17 22:45:14 IST 2025","passed","Mon Nov 17 22:46:02 IST 2025","Approve Expense Claim Flow","expensesClaim.spec.ts","",""
"","12894","Approve Expense Claim Flow","chromium","Mon Nov 17 01:39:06 IST 2025","failed","Mon Nov 17 01:39:19 IST 2025","","expensesClaim.spec.ts","",""
"","27703","Use created expense for employee","chromium","Mon Nov 17 01:20:24 IST 2025","failed","Mon Nov 17 01:20:52 IST 2025","","expensesClaim.spec.ts","",""
"","15595","User should login sucessful","firefox","Mon Nov 17 16:39:11 IST 2025","passed","Mon Nov 17 16:39:27 IST 2025","Login Tests","login.spec.ts","",""
"","10944","High priority - Login with valid user @high","Chromium","Mon Nov 17 22:46:03 IST 2025","passed","Mon Nov 17 22:46:13 IST 2025","Login Tests","login.spec.ts","",""
"","57241","Approve an existing expense claim","chromium","Mon Nov 17 16:41:58 IST 2025","passed","Mon Nov 17 16:42:55 IST 2025","Approve Expense Claim Flow","expensesClaim.spec.ts","",""
"","23588","Create new expense","WebKit","Mon Nov 17 17:10:16 IST 2025","passed","Mon Nov 17 17:10:39 IST 2025","Create Expense Flow","payroll.spec.ts","",""
"","39159","Approve an existing expense claim","WebKit","Mon Nov 17 17:22:16 IST 2025","failed","Mon Nov 17 17:22:55 IST 2025","Approve Expense Claim Flow","expensesClaim.spec.ts","",""
"","13786","Approve an existing expense claim","approve-expense","Mon Nov 17 01:56:28 IST 2025","failed","Mon Nov 17 01:56:42 IST 2025","Approve Expense Claim Flow","expensesClaim.spec.ts","",""
"","28900","Approve an existing expense claim","Firefox","Mon Nov 17 17:22:16 IST 2025","failed","Mon Nov 17 17:22:45 IST 2025","Approve Expense Claim Flow","expensesClaim.spec.ts","",""
"","17662","Create new expense","webkit","Mon Nov 17 16:39:56 IST 2025","passed","Mon Nov 17 16:40:14 IST 2025","Create Expense Flow","payroll.spec.ts","",""
"","15320","Create new expense","create-expense","Mon Nov 17 01:56:11 IST 2025","passed","Mon Nov 17 01:56:26 IST 2025","Create Expense Flow","payroll.spec.ts","",""
"","25351","User should login sucessful","webkit","Mon Nov 17 16:39:34 IST 2025","passed","Mon Nov 17 16:39:59 IST 2025","Login Tests","login.spec.ts","",""
"","14555","Login with valid user","Chromium","Mon Nov 17 23:48:48 IST 2025","passed","Mon Nov 17 23:49:02 IST 2025","Login Tests","1_login.spec.ts","",""
"","60995","User should login successfully","Firefox","Mon Nov 17 17:09:08 IST 2025","broken","Mon Nov 17 17:10:09 IST 2025","Login Tests","login.spec.ts","",""
"","69552","Create new expense","chromium","Mon Nov 17 01:05:16 IST 2025","broken","Mon Nov 17 01:06:26 IST 2025","","payroll.spec.ts","",""
"","18553","Create new expense","Chromium","Mon Nov 17 22:46:14 IST 2025","passed","Mon Nov 17 22:46:33 IST 2025","Create Expense Flow","payroll.spec.ts","",""
